source	authors	title	year	language	keywords	affiliation	countries	publisher	database	citations
conference/workshop	Yusra Anees;Sadaf Abdul Rauf;Nauman Iqbal;Abdul Basit Siddiqi	Developing a Monolingual Sentence simplification; Corpus for Urdu	2020	Urdu			canada	Association for Computational Linguistics	acl.csv	0
conference/workshop	Nathan Hartmann;Gustavo Henrique Paetzold;Sandra Aluísio	SIMPLEX-PB 2.0: A Reliable Dataset for Lexical simplification; in Brazilian Portuguese	2020	Portuguese			canada	Association for Computational Linguistics	acl.csv	0
conference/workshop	Regina Stodden;Laura Kallmeyer	A multi-lingual and cross-domain analysis of features for text simplification;	2020	Italian			canada	European Language Resources Association	acl.csv	0
conference/workshop	Andreas Säuberli;Sarah Ebling;Martin Volk	Benchmarking Data-driven Automatic Text simplification; for German	2020	German			canada	European Language Resources Association	acl.csv	0
conference/workshop	Daria Goriachun;Núria Gala	Identifying Abstract and Concrete Words in French to Better Address Reading Difficulties	2020	French			canada	European Language Resources Association	acl.csv	0
conference/workshop	Sian Gooding;Shiva Taslimipoor;Ekaterina Kochmar	Incorporating Multiword Expressions in Phrase Complexity Estimation	2020				canada	European Language Resources Association	acl.csv	0
conference/workshop	Tarek Sakakini;Jong Yoon Lee;Aditya Duri;Renato F.L. Azevedo;Victor Sadauskas;Kuangxiao Gu;Suma Bhat;Dan Morrow;James Graumlich;Saqib Walayat;Mark Hasegawa-Johnson;Thomas Huang;Ann Willemsen-Dunlap;Donald Halpin	Context-Aware Automatic Text simplification; of Health Materials in Low-Resource Domains	2020				canada	Association for Computational Linguistics	acl.csv	0
conference/workshop	Nora Aranberri	With or without you? Effects of using machine translation to write flash fiction in the foreign language	2020				canada,canada	European Association for Machine Translation	acl.csv	0
conference/workshop	Megna A.L., Schicchi D., Lo Bosco G., Pilato G.	A Controllable Text simplification; System for the Italian Language	2021		Deep Learning; Natural Language Processing; Text simplification;Semantics; English languages; Linguistic complexity; Non-trivial tasks; State-of-the-art system; Written texts; Deep learning	University of Palermo, Dipartimento di Matematica e Informatica, Italy; Istituto Euro-Mediterraneo di Scienza e Tecnologia, Dipartimento di Scienze per l'Innovazione Tecnologica, Italy; ICAR-CNR, Italian National Research Council, Italy	china,hong kong	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	Song J., Shen Y., Lee J., Hao T.	A Hybrid Model for Community-Oriented Lexical simplification;	2020		Context-aware; Context2vec; Lexical simplification;Merging; Semantics; Baseline methods; Context-aware models; Neural modeling; Ranking algorithm; Ranking methods; Semantic context; State of the art; Weighted average method; Natural language processing systems	School of Computer Science, South China Normal University, Guangzhou, China; Department of Linguistics and Translation, City University of Hong Kong, Hong Kong	czech republic	Springer Science and Business Media Deutschland GmbH	scopus.csv	0
conference/workshop	Sarkar S., Das D., Pakray P., Pinto D.	A Hybrid Sequential Model for Text simplification;	2021		Natural language; NER; Processing; Seq2Seq model; Text simplification; Computer aided language translation; Decoding; Natural language processing systems; Signal encoding; Students; Bi-directional; Complex sentences; Encoder-decoder; English sentences; Learning process; Machine translations; Named entities; Sequential model; Learning systems	Hijli College, Kharagpur, India; Jadavpur University, Kolkata, India; National Institute of Technology Silchar, Silchar, India; Faculty of Computer Science, Benemerita Universidad Autónoma de Puebla, Puebla, Mexico	czech republic,india	Springer Science and Business Media Deutschland GmbH	scopus.csv	0
conference/workshop	Huang C.-C., Eskenazi M., Chen M.-H., Yang P.-C.	A keyword-based monolingual sentence aligner in text simplification;	2014		Semantics; Syntactics; Alignment accuracy; Key words; Keyword-based; Parts of speech; Pilot studies; Reading comprehension tests; Sentence similarity; State of the art; Dynamic programming	Language Technologies Institute, CMU, United States; Hua Fan University, Taipei, Taiwan; Institute for Information Industry, Taipei, Taiwan	denmark	Faculty of Pharmaceutical Sciences, Chulalongkorn University	scopus.csv	0
conference/workshop	Lo Bosco G., Pilato G., Schicchi D.	A recurrent deep neural network model to measure sentence complexity for the Italian Language	2019		Deep neural networks; Natural language processing; Text simplification;Complex networks; Decision making; Natural language processing systems; Recurrent neural networks; Confidence levels; Decision making process; Information contents; NAtural language processing; Neural network model; State-of-the-art methods; Text simplification; Deep neural networks	Dipartimento di Matematica e Informatica, Universitá degli studi di Palermo, Italy; ICAR-CNR, National Research Council of Italy, Palermo, Italy	finland	CEUR-WS	scopus.csv	0
conference/workshop	Hahn U., Honeck M., Schulz S.	A search engine for morphologically complex languages	2001		Computational linguistics; Data handling; Information analysis; Document Retrieval; Medical documents; Named entities; Natural languages; Performance degradation; Query terms; Single words; Text words; Search engines	Linguistische Informatik/Computerlinguistik, Universität Freiburg, Werthmannplatz 1, Freiburg, D-79085, Germany; Abteilung Medizinische Informatik, Universitätsklinikum Freiburg, Stefan-Meier-Str. 26, Freiburg, D-79104, Germany	finland,finland	Springer Verlag	scopus.csv	0
conference/workshop	Jahan F., Fruitwala P., Vyas T.	A study of working of ad auctioning by google adwords	2016		Ad position; AdRank; AdWords; CTR; Keyword matchPlanning; Sustainable development; World Wide Web; Ad position; AdRank; Advertising revenues; AdWords; Keyword match; Online advertising; WEB application; World wide webs (WWW); Marketing	Institute of Technology, Nirma University, Ahmedabad, India; Computer Science and Engineering Department, Nirma University, Ahmedabad, India	france	Springer Verlag	scopus.csv	0
conference/workshop	Bautista S., Díaz-Agudo B.D.	Accessibility-driven cooking system	2016		Cooking; Best choice; Cooking systems; Educational levels; Learning capacity; Special needs; Textual content; User need; User profile; Case based reasoning	Department of Software Engineering and Artificial Intelligence, Universidad Complutense de Madrid, Madrid, Spain	france,france	Springer Verlag	scopus.csv	0
conference/workshop	Tchami O.W.	Acquiring verb frames for a text simplification; lexicon in the medical domain	2016		Argument structure; Doctor vs patient communication; Medical corpora; Specialised corpora; Specialised verbs; Text simplification; resource; Verb frames; Verb semantic featuresClassification (of information); Knowledge engineering; Semantics; Argument structures; Medical corpora; Semantic features; Specialised corpora; Specialised verbs; Text simplification; resource; Verb frames; Terminology	STL-UMR8163-University of Lille3, France IWIST-University of Hildesheim, Germany	france,france	Copenhagen Business School, Department of International Business Communication	scopus.csv	0
conference/workshop	Ehara Y.	Analyzing Similarities between Word Frequency Distributions of Various Corpora to Find Effective Features for Complex Word Identification	2019		Complex Word Identification; Corpus Similarity; Natural Language Processing;Data mining; Natural language processing systems; Corpus Similarity; Learner corpora; NAtural language processing; Word frequencies; Word identification; Linguistics	Department of Computer Science Shizuoka, Institute of Science and Technology, 2200-2 Toyosawa, Fukuroi, Shizuoka, 437-8555, Japan	germany,germany	IEEE Computer Society	scopus.csv	0
conference/workshop	Štajner S., Popović M.	Automated text simplification; as a preprocessing step for machine translation into an under-resourced language	2019	English	Computational linguistics; Computer aided language translation; Deep learning; Machine translations; Post-editing; Pre-processing step; State of the art; Two-state; Under-resourced languages; Natural language processing systems	Symanto Research Nuremberg, Germany; ADAPT Centre, DCU Dublin, Ireland	hong kong	Incoma Ltd	scopus.csv	0
conference/workshop	Baeza-Yates R., Rello L., Dembowski J.	CASSAurus: A resource of simpler Spanish synonyms	2016	Spanish	Google Books Ngrams; Lexical simplification; Spanish; Spanish OpenThesaurus; Synonyms;Lexical simplification; N-grams; Spanish; Spanish OpenThesaurus; Synonyms; Semantics	Web Research Group, DTIC, Universitat Pompeu Fabra, Barcelona, Spain; Computational Linguistics Dept., Saarland University, Saarland, Germany	india,india	European Language Resources Association (ELRA)	scopus.csv	0
conference/workshop	Sheang K.C.	Context-aware automatic text simplification;	2020		Complex Word Identification; Natural Language Processing; Text simplification;Behavioral research; Context-Aware; Human behaviours; Mental disabilities; Non-native speakers; Natural language processing systems	Large Scale Text Understanding Systems Lab, TALN / DTIC, Universitat Pompeu Fabra, Barcelona, Spain	italy	CEUR-WS	scopus.csv	0
conference/workshop	Blinova O., Belov S., Revazov M.	Decisions of Russian constitutional court: Lexical complexity analysis in shallow diachrony	2021		Decisions of the Russian constitutional court; Legal linguistics; Lexical complexity; Lexical diversity; Most frequent words; Quanteda; R packages; Stylo; Stylometric analysis; TTR; Yule’s KComplexity analysis; Court decisions; Diversity measure; Index values; Large clusters; Punctuation marks; Text length; Traditional approaches; Cluster analysis	St. Petersburg State University, 7/9 Universitetskaya nab., St. Petersburg, 199034, Russian Federation; National Research University Higher School of Economics, St. Petersburg, 190068, Russian Federation	italy,italy	CEUR-WS	scopus.csv	0
conference/workshop	Cumbal R., Lopes J., Engwall O.	Detection of Listener Uncertainty in Robot-Led Second Language Conversation Practice	2020		conversation; robot assisted language learning; social robotics;Interactive computer systems; Affective state; Classification models; Learning opportunity; Learning process; Multimodal features; Multimodal inputs; Second language; Second language learners; Social robots	Kth - Royal Institute of Technology, Stockholm, Sweden; Heriot Watt University, Edinburgh, United Kingdom	japan	Association for Computing Machinery, Inc	scopus.csv	0
conference/workshop	Niklaus C., Cetto M., Freitas A., Handschuh S.	DISSIM: A discourse-aware syntactic text simplification; framework for English and German	2019		Semantics; Complex sentences; Intermediate representations; Interpretability; Regular structure; Rhetorical relations; Semantic hierarchies; Natural language processing systems	University of St.Gallen, Switzerland; University of Manchester, United Kingdom; University of Passau, Germany	japan	Association for Computational Linguistics (ACL)	scopus.csv	0
conference/workshop	Magalhães V.M.A.D., Bernardo W.F., Diniz F.H., Santos K.C.L.D., Fonseca L.M.G., Aluisio S.M., Leal S.	E-Rural methodology: Contents elaborated according to the literacy level of the target audience	2017		Accessibility; Common Sense; Lexical simplification; Literacy; Syntax simplification;Agriculture; Natural language processing systems; Syntactics; Accessibility; Common sense; Lexical simplification; Literacy; Syntax simplification; Human computer interaction	Transferência de Tecnologia, Embrapa Gado de Leite Juiz de Fora, Brazil; Departamento de Ciências da Computacąõ, Universidade de Saõ Paulo, Saõ Carlos, Brazil	japan,japan	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	Miyata R., Tatsumi M.	Evaluating the suitability of human-oriented text simplification; for machine translation	2019		Computational linguistics; Computer aided language translation; Cultural assets; Human evaluation; Machine translations; Possible rule; Qualitative analysis; Rule set; Side effect; Source language; Quality control	Nagoya University, Japan; Rikkyo University, Japan	new zealand	Waseda Institute for the Study of Language and Information, Waseda University	scopus.csv	0
conference/workshop	Singh J., Singh G., Singh R., Singh P.	Evaluation and analysis of word embedding vectors of english text using deep learning technique	2018		Continuous bag of words; Deep neural networks; Global vector representation; Singular value decomposition; Skip gram; Word embedding’sCharacter recognition; Deep neural networks; Functional analysis; Natural language processing systems; Semantics; Singular value decomposition; Speech recognition; Syntactics; Text processing; Vectors; Bag of words; Community question answering; Learning neural networks; Named entity recognition; Sentiment classification; Skip gram; Vector representations; Word embedding; Vector spaces	Department of Computer Science, Guru Nanak Dev University, Amritsar, Punjab, India; Faculty of Engineering and Technology, Department of Computer Science, Guru Nanak Dev University, Amritsar, Punjab, India	new zealand	Springer Verlag	scopus.csv	0
conference/workshop	Ehara Y.	Graph-based analysis of similarities between word frequency distributions of various corpora for complex word identification	2019		Complex Word Identification; Natural Language Processing; Vocabulary Tests;Graph structures; Graphic methods; Learning algorithms; Machine learning; Natural language processing systems; Analysis method; Graph-based; NAtural language processing; Weighted graph; Word frequencies; Word identification; Linguistics	Department of Computer Science, Shizuoka Insitute of Science and Technology (SIST), 2200-2, Toyosawa, Fukuroi, Shizuoka, 437-8555, Japan	south africa	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	Zhang N., Zhang Q., Liu X., Jiang X.	Improving College Students' English Writing Performance via Vlog	2020		English writing; possess-oriented writing; vlog; writing performance;Educational technology; College students; English-as-a-Foreign-Language; Experimental groups; Experimental research; Learners' perceptions; Process writings; Social networking services; Writing performance; Students	School of Foreign Studies, South China Normal University, Guangzhou, China; Guangzhou Datong Middle School, Guangzhou, China	spain	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	MacMahon S.T., Alfano M., Lenzitti B., Bosco G.L., McCaffery F., Taibi D., Helfert M.	Improving Communication in Risk Management of Health Information Technology Systems by means of Medical Text simplification;	2019		IEC 80001-1; Medical Terminology simplification; Risk Management;Data communication systems; Health risks; Information management; Medical information systems; Risk perception; Terminology; Chronic disease; Communication breakdowns; Communication problems; Health information technologies; IEC 80001-1; Medical professionals; Medical terminologies; Risk management process; Risk management	Dundalk Institute of Technology, Department of Visual and Human Centred Computing, Dublin Road, Dundalk, Ireland; Dublin City University, School of Computing, Glasnevin, Dublin 9, Ireland; Università di Palermo, Dipartimento di Matematicae Informatica, Italy; Istituto per le Tecnologie Didattiche Consiglio Nazionale Delle Ricerche, Palermo, Italy; Dublin City University, School of Computing, Glasnevin Dublin 9, Ireland	spain	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	Fieromonte M., Brunato D., Dell’Orletta F., Venturi G.	Italian and English sentence simplification;: How many differences?	2019		English sentences; Linguistic analysis; Computational linguistics	University of Pavia, Italy; Istituto di Linguistica Computazionale “Antonio Zampolli” (ILC–CNR), ItaliaNLP Lab, Italy	spain	CEUR-WS	scopus.csv	0
conference/workshop	Inaoka Y., Yamamoto K.	Japanese grammatical simplification; with simplified corpus	2019		controlled languages; paraphrasing; text simplification;Computational linguistics; Natural language processing systems; Automatic evaluation; Conventional machines; Hybrid method; Machine translations; simplification; method; Computer aided language translation	Nagaoka University of Technology, Nagaoka, Japan	spain	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	Pattisapu N., Prabhu N., Bhati S., Varma V.	Leveraging Social Media for Medical Text simplification;	2020		denoising autoencoders; seq-to-seq models; text simplification;Information retrieval; Alignment error; Auto encoders; Health literacy; Human evaluation; Medical information; Neural modeling; simplification; method; simplification; models; Social networking (online)	International Institute of Information Technology Hyderabad, Hyderabad, India	spain,spain	Association for Computing Machinery, Inc	scopus.csv	0
conference/workshop	Cardon R.	Lexical approach for the automatic simplification; of medical texts [Approche lexicale de la simplification; automatique de textes médicaux]	2020		Automatic text simplification; Lexical analysis; Lexical simplification; Lexical substitution; Medical area;Information retrieval; Automatic text simplification; Biomedical text; Comparable corpora; Lexical analysis; Lexical simplification; Manual alignment; Medical areas; Reference data; Semantics	UMR 8163, STL - Savoirs Textes Langage, Lille, F-59000, France	spain,spain,spain	ARIA	scopus.csv	0
conference/workshop	Silpa K.S., Irshad M.	Lexical simplification; of complex scientific terms	2018		Complex word identification; Conditional random field; Lexical simplification; Substitution generation; Substitution ranking; Substitution selectionEngineering; Industrial engineering; Complex term; Conditional random field; Filtering method; Generation method; Lexical simplification; Scientific terms; simplification; rules; Word identification; Random processes	Dept. of CSE, Govt. Engg. College, Palakkad, India	sweden,sweden,sweden	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	Alarcon R.	Lexical simplification; to improve cognitive accessibility [Simplificación léxica para la mejora de la accesibilidad cognitiva]	2020		Accessibility; Cognitive disability; Complex Word Identification; Definitions; Lexical simplification; Synonyms; Word-sense disambiguationLearning systems; Regulatory compliance; Accessibility barriers; Cognitive disability; Intellectual disability; Language resources; Machine learning techniques; Word Sense Disambiguation; Natural language processing systems	Grupo HULAT, Departamento Informática, Universidad Carlos III de Madrid, Spain	sweden,united kingdom	CEUR-WS	scopus.csv	0
conference/workshop	Maruyama T., Yamamoto K.	Lexical substitution is practical for rare word simplification;	2018		Computer aided language translation; Human knowledge; Machine translations; Substitution models; Subtask; Computational linguistics	Nagaoka University of Technology, Japan	switzerland	Association for Computational Linguistics	scopus.csv	0
conference/workshop	Blinova O.V., Tarasov N.A., Modina V.V., Blekanov I.S.	Modeling lemma frequency bands for lexical complexity assessment of Russian texts [МОДЕЛИРОВАНИЕ ЗОН ЧАСТОТНОГО СЛОВАРЯ ДЛЯ ОЦЕНКИ ЛЕКСИЧЕСКОЙ СЛОЖНОСТИ РУССКИХ ТЕКСТОВ]	2020		Frequency bands; General-language frequency; Lemma frequency lists; Lexical complexity; Linguistic corpora; Low-frequency words; Russian	Saint Petersburg State University, Saint Petersburg, Russian Federation; HSE University, Saint Petersburg, Russian Federation	united kingdom	ABBYY PRODUCTION LLC	scopus.csv	0
conference/workshop	Song G.H., Wang Y.	Paraphrase Generation with Chinese Short Text Dataset	2020		component: paraphrase generation; seq2seq; text rewrite; text simplification;Semantics; Attention mechanisms; Chinese short-text; Data-source; High quality; Labeled dataset; Intelligent computing	Key Laboratory of Convergent Media and Intelligent Technology Communication University of China, Ministry of Education, Beijing, China	united kingdom,qatar	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	Hösel C., Roschke C., Thomanek R., Rolletschke T., Platte B., Ritter M.	Process Automation in the Translation of Standard Language Texts into Easy-to-Read Texts – A Software Requirements Analysis	2020		Easy-to-read; Process automation; Requirements analysis; Requirements engineering; Text simplification;Human computer interaction; Requirements engineering; Barrier-free; Information and communication; Process automation; Software requirements analysis; Software systems; Sub process; Translation process; Computer software	University of Applied Sciences Mittweida, Mittweida, 09648, Germany	united states	Springer	scopus.csv	0
conference/workshop	Maslennikova Yu.S., Abramov A.V.	Quantitative analysis of lexical complexity in contemporary Russian novels	2019		20th century; Information measures; Jensen-Shannon divergence; Kullback Leibler divergence; Relative frequencies; Statistical measures; Physics	Kazan Federal University, Kremlevskaya str.18, Kazan, 420018, Russian Federation	united states	Institute of Physics Publishing	scopus.csv	0
conference/workshop	Ramadier L., Lafourcade M.	Radiological text simplification; using a general knowledge base	2018		BioNLP; NLP; Text simplification;Computational linguistics; Knowledge based systems; Semantics; Text processing; BioNLP; General knowledge; Health informations; Lexical information; Lexical networks; Lexical semantic networks; Qualitative evaluations; Text simplification; Natural language processing systems	Department of Radiology, University Hospital of Montpellier, Montpellier, France; LIRMM, University of Montpellier, Montpellier, France	united states	Springer Verlag	scopus.csv	0
conference/workshop	Dhar A., Salgaonkar A.	Rule-Based Approach to Sentence simplification; of Factual Articles	2020		Automatic sentence simplification; ICT for accessibility enhancement; Rule-based approachStudents; Sustainable development; Automatic sentence simplification; Average numbers; Disabled children; Generating system; Graduate students; NAtural language processing; Proof of concept; Rule-based approach; Natural language processing systems	Podar International School, Mumbai, India; Department of Computer Science, University of Mumbai, Mumbai, India	united states	Springer	scopus.csv	0
conference/workshop	Imperial J.M., Ong E.	Semi-automatic Construction of Sight Words Dictionary for Filipino Text Readability	2021		Filipino text; High-frequency words; Text readability;Intelligent systems; Knowledge acquisition; Knowledge management; High-frequency words; In-buildings; Semi-automatics; Word familiarity; Young readers; Mergers and acquisitions	De La Salle University, Manila, Philippines; National University, Manila, Philippines	united states	Springer Science and Business Media Deutschland GmbH	scopus.csv	0
conference/workshop	Nóbrega F.A.A., Jorge A.M., Brazdil P., Pardo T.A.S.	Sentence compression for Portuguese	2020		Datasets; Linguistic features; Sentence Compression;Linguistics; Automatic summarization; Datasets; Linguistic features; On-machines; Sentence compression; State-of-the-art methods; Machine learning	Interinstitutional Center for Computational Linguistics (NILC), Institute of Mathematical and Computer Sciences, University of São Paulo, São Paulo, Brazil; LIAAD - INESC TEC/FCUP, University of Porto, Porto, Portugal; LIAAD - INESC TEC/FEP, University of Porto, Porto, Portugal	united states	Springer	scopus.csv	0
conference/workshop	Wang M., Ozaki H., Koreeda Y., Yanai K.	Split First and Then Rephrase: Hierarchical Generation for Sentence simplification;	2020		Hierarchical text generation; Split-and-rephrase; Text simplification;Semantics; Separators; Break down; Complex sentences; Coverage rate; Semantic components; Sequence generation; Computational linguistics	Hitachi, Ltd., Research & Development Group, 1-280 Higashi-koigakubo, Tokyo, Kokubunji-shi, Japan	united states,united states	Springer	scopus.csv	0
conference/workshop	Randria E., Fontan L., Le Coz M., Ferrané I., Pinquier J.	Subjective evaluation of comprehensibility in movie interactions	2020		Comprehensibility; Corpus; Grammatical complexity; Linguistic complexity; Movie; Multimodality; Speech intelligibility;Audio acoustics; Audiovisual; Linear regression; Motion pictures; Semantics; Audio-visual document; Dependent variables; Grammatical complexity; Independent variables; Linguistic complexity; Multiple linear regressions; Perceived difficulties; Subjective evaluations; Speech intelligibility	IRIT, CNRS, Université Paul Sabatier, Toulouse, France; Archean Labs, 20 place Prax-Paris, Montauban, 82000, France	united states,united states	European Language Resources Association (ELRA)	scopus.csv	0
conference/workshop	Islam M.R., Fakhri I., Mohd R., Tumian A.	The Effectiveness of Adaptive Driven Data Dictionary on Inflectional Text simplification; for Financial Prediction	2019		Adjective Intensity; Big-Data; Feature Extraction; Financial Text simplification; Stock Prediction;Classification (of information); Electronic trading; Finance; Forecasting; Information retrieval systems; Learning systems; Semantics; Soft computing; Component analysis; Financial prediction; Machine learning techniques; Methodological approach; Semantic category; Softcomputing techniques; Text classification; Textual documents; Text processing	International Islamic University Malaysia, Department of Computer Science, Kuala Lumpur, Malaysia; International Islamic University Malaysia, Al-Shaikhli Department of Computer Science, Kuala Lumpur, Malaysia		Institute of Electrical and Electronics Engineers Inc.	scopus.csv	0
conference/workshop	Vodolazova T., Lloret E.	The impact of rule-based text generation on the quality of abstractive summaries	2019		Deep learning; Semantics; Informative ness; Rule based; Semantic representation; Set of rules; State of the art; Text generations; Text summarization; Natural language processing systems	Dept. of Software and Computing Systems, University of Alicante, Apdo. de Correos 99, Alicante, E-03080, Spain		Incoma Ltd	scopus.csv	0
conference/workshop	Elia A., Maisto A., Melillo L., Pelosi S.	The Lexical Complexity and Basic Vocabulary of the Italian Language	2021		Basic vocabulary; Lexicon complexity; Vocabulary range;Classification (of information); Natural language processing systems; Computational tools; Language education; Primary school children; Primary schools; Research studies; Text classification; Textual analysis; Text processing	University of Salerno, Fisciano, SA, Italy		Springer Science and Business Media Deutschland GmbH	scopus.csv	0
conference/workshop	Uitdenbogerd A.	Tools for supporting language acquisition via extensive reading	2014		CALL; Extensive reading;Search engines; CALL; E-reader; Extensive reading; Foreign language; Language acquisition; Level of difficulties; Prototype implementations; Text generations; Computational linguistics	School of Computer Science and IT, RMIT University, Australia		Asia-Pacific Society for Computers in Education	scopus.csv	0
conference/workshop	Vodolazova T.	Towards accessible abstractive text summarization [Hacia los resúmenes abstractivos y accesibles]	2020		Abstractive text summarization; Language generation; ReadabilityText processing; Cognitive ability; Information access; Language proficiency; NAtural language processing; Text summarization; Natural language processing systems	Departamento de Lenguajes y Sistemas Informáticos, Universidad de Alicante, Spain		CEUR-WS	scopus.csv	0
conference/workshop	Štajner S., Saggion H.	Translating from original to simplified sentences using Moses: When does it actually work?	2015		Computational linguistics; Natural language processing systems; Machine translations; Training dataset; Translation models; Translation (languages)	Research Group in Computational Linguistics, University of Wolverhampton, United Kingdom; TALN Research Group, Universitat Pompeu Fabra, Spain		Association for Computational Linguistics (ACL)	scopus.csv	0
conference/workshop	Petra Steiner	Augmenting a German Morphological Database by Data-Intense Methods	2019	German			bosnia and herzegovina	Association for Computational Linguistics	acl.csv	1
conference/workshop	Elior Sulem;Omri Abend;Ari Rappoport	Semantic Structural Decomposition for Neural Machine Translation	2020	French			brazil,germany	Association for Computational Linguistics	acl.csv	1
conference/workshop	Rodrigo Wilkens;Bruno Oberle;Amalia Todirascu	Coreference-Based Text simplification;	2020	French			canada	European Language Resources Association	acl.csv	1
conference/workshop	Li Zhang;Huaiyu Zhu;Siddhartha Brahma;Yunyao Li	Small but Mighty: New Benchmarks for Split and Rephrase	2020				canada	Association for Computational Linguistics	acl.csv	1
conference/workshop	Hartmann N.S., Paetzold G.H., Aluísio S.M.	A dataset for the evaluation of lexical simplification; in Portuguese for children	2020		Benchmark; Children; Dataset; Lexical simplification;Benchmarking; Computer science; Computers; Children; Classroom settings; Dataset; Lexical simplification; Manual annotation; Non-native speakers; Public institution; Target audience; Artificial intelligence	Institute of Mathematics and Computer Science, University of São Paulo, São Paulo, Brazil; Federal Technological University of Paraná, Toledo Campus, Apucarana, Brazil; Data Science Team, Itaú-Unibanco, São Paulo, Brazil	china,united states,united states,china,china,united states,china	Springer	scopus.csv	1
conference/workshop	Sasaki Y., Komatsuda T., Keyaki A., Miyazaki J.	A new readability measure for web documents and its evaluation on an effective web search engine	2016		Copula; Information Retrieval; Readability; Score Fusion; Text simplification;Information analysis; Information retrieval systems; Search engines; Web services; Websites; Copula; Document structure; Information requirement; Linear combinations; Overall accuracies; Readability; Score fusion; Text simplification; Information retrieval	Department of Computer Science, Tokyo Institute of Technology, Japan; Hitachi, Ltd., Japan	ecuador,spain	Association for Computing Machinery	scopus.csv	1
conference/workshop	Chen P., Wu F., Wang T., Ding W.	A semantic QA-based approach for text summarization evaluation	2018		Artificial intelligence; Computational linguistics; Knowledge based systems; Semantics; Knowledge base; Machine translations; NLP systems; Text summarization; Natural language processing systems	University of Massachusetts, Boston, United States	finland,finland,finland,finland	AAAI press	scopus.csv	1
